Hominidae	sk__Eukaryota.k__Metazoa.p__Chordata.c__Mammalia.o__Primates.f__Hominidae	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Deuterostomia.p__Chordata.nr__Vertebrata.nr__Gnathostomata.nr__Teleostomi.nr__Euteleostomi.sc__Sarcopterygii.nr__Dipnotetrapodomorpha.nr__Tetrapoda.nr__Amniota.c__Mammalia.nr__Theria.nr__Eutheria.nr__Boreoeutheria.so__Euarchontoglires.o__Primates.sf__Hominoidea.f__Hominidae
Hydrogenophilales	sk__Bacteria.p__Proteobacteria.c__Hydrogenophilalia.o__Hydrogenophilales	sk__Bacteria.p__Proteobacteria.c__Hydrogenophilalia.o__Hydrogenophilales
Hymenoptera	sk__Eukaryota.k__Metazoa.p__Arthropoda.c__Insecta.o__Hymenoptera	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Protostomia.nr__Ecdysozoa.nr__Panarthropoda.p__Arthropoda.nr__Mandibulata.nr__Pancrustacea.c__Insecta.nr__Dicondylia.o__Hymenoptera
Hyphomicrobiaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae
Hyphomonadaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae
Hypocreaceae	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.nr__sordariomyceta.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae
Hypocreales	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.nr__sordariomyceta.c__Sordariomycetes.o__Hypocreales
Idiomarinaceae	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Idiomarinaceae	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Idiomarinaceae
Inoviridae	sk__Viruses.f__Inoviridae	sk__Viruses.f__Inoviridae
Insecta	sk__Eukaryota.k__Metazoa.p__Arthropoda.c__Insecta	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Protostomia.nr__Ecdysozoa.nr__Panarthropoda.p__Arthropoda.nr__Mandibulata.nr__Pancrustacea.c__Insecta
Intrasporangiaceae	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae
Kinetoplastida	sk__Eukaryota.p__Euglenozoa.c__Kinetoplastea.nr__unclassified_Kinetoplastida	sk__Eukaryota.p__Euglenozoa.c__Kinetoplastea.nr__unclassified_Kinetoplastida
Kitasatospora	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptomycetales.f__Streptomycetaceae.g__Kitasatospora	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Streptomycetales.f__Streptomycetaceae.g__Kitasatospora
